start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
1 Ave & E 16 St,E 27 St & 1 Ave,40.732219894593825,-73.98165652908219,40.73944500000001,-73.976806,1087
1 Ave & E 16 St,E 33 St & 1 Ave,40.732219894593825,-73.98165652908219,40.74322681459857,-73.9744978400473,1045
1 Ave & E 62 St,1 Ave & E 68 St,40.76123571061968,-73.960923721083,40.76500524962011,-73.95818491013677,2535
1 Ave & E 62 St,1 Ave & E 78 St,40.76123571061968,-73.960923721083,40.771404259429225,-73.9535166008781,2430
1 Ave & E 62 St,E 74 St & 1 Ave,40.76123571061968,-73.960923721083,40.768973800263396,-73.95482273035559,1065
1 Ave & E 68 St,1 Ave & E 62 St,40.76500664434639,-73.9581770068976,40.76122739825132,-73.96094021903822,1475
1 Ave & E 68 St,1 Ave & E 78 St,40.76500664434639,-73.9581770068976,40.771404259429225,-73.9535166008781,2596
1 Ave & E 68 St,E 55 St & 2 Ave,40.76500664434639,-73.9581770068976,40.757973219302244,-73.96603307974628,1457
1 Ave & E 68 St,E 68 St & 3 Ave,40.76500664434639,-73.9581770068976,40.767128402332254,-73.962246179063,1725
1 Ave & E 68 St,E 88 St & 1 Ave,40.76500664434639,-73.9581770068976,40.778301,-73.94881339898151,1294
1 Ave & E 78 St,1 Ave & E 78 St,40.77140100260751,-73.95351083867982,40.771404259429225,-73.9535166008781,1171
1 Ave & E 78 St,E 77 St & 3 Ave,40.77140100260751,-73.95351083867982,40.773142359515006,-73.95856158056583,1025
10 Ave & W 14 St,10 Ave & W 14 St,40.74196795017789,-74.008315903293,40.74198161472014,-74.00831580894946,1106
11 Ave & W 41 St,8 Ave & W 33 St,40.76031457077908,-73.99882970797398,40.751551,-73.993934,1598
11 Ave & W 41 St,W 34 St & 11 Ave,40.76031457077908,-73.99882970797398,40.75594160019952,-74.00211629253694,2479
12 Ave & W 40 St,10 Ave & W 14 St,40.760878398596944,-74.00278190386578,40.74198161472014,-74.00831580894946,1299
12 Ave & W 40 St,12 Ave & W 40 St,40.760878398596944,-74.00278190386578,40.760875019522146,-74.00277668764564,1266
2 Ave & E 104 St,2 Ave & E 96 St,40.78919236715103,-73.94371918919325,40.78396360076462,-73.94716729942654,1261
2 Ave & E 72 St,1 Ave & E 78 St,40.768739208411,-73.95842111813874,40.771404259429225,-73.9535166008781,1578
2 Ave & E 72 St,E 55 St & 2 Ave,40.768739208411,-73.95842111813874,40.757973219302244,-73.96603307974628,1147
2 Ave & E 72 St,E 72 St & York Ave,40.768739208411,-73.95842111813874,40.76663813965241,-73.95348296009931,1340
3 Ave & E 62 St,1 Ave & E 68 St,40.763137939967926,-73.96531804034481,40.76500524962011,-73.95818491013677,1115
3 St & Prospect Park West,3 St & Prospect Park West,40.66813674010133,-73.97361563041734,40.668132,-73.97363830463722,1321
46 Ave & 5 St,45 Ave & 21 St,40.74730156928607,-73.95450552800762,40.747370756988474,-73.94777297977961,1088
46 Ave & 5 St,Vernon Blvd & 50 Ave,40.74730156928607,-73.95450552800762,40.74232743830254,-73.95411748810965,2648
5 Ave & E 103 St,5 Ave & E 103 St,40.79223827779527,-73.9525193731653,40.792255292052104,-73.9524993212573,1437
5 Ave & E 63 St,5 Ave & E 63 St,40.76638091750219,-73.97151513111922,40.766368,-73.971518,1063
5 Ave & E 72 St,5 Ave & E 72 St,40.77281960212993,-73.96686229143529,40.77282816412107,-73.96685276829966,2317
5 Ave & E 78 St,5 Ave & E 78 St,40.77635175064547,-73.96427160755233,40.776321403042175,-73.96427393273049,1758
5 Ave & E 87 St,5 Ave & E 87 St,40.7823442377893,-73.95986593716266,40.78232262533018,-73.95987510190973,1394
5 Ave & E 87 St,Central Park North & Adam Clayton Powell Blvd,40.7823442377893,-73.95986593716266,40.799484,-73.955613,1161
5 Ave & E 93 St,5 Ave & E 93 St,40.78578815311429,-73.95748622662663,40.78578509608942,-73.957481,1008
6 Ave & W 33 St,E 33 St & 1 Ave,40.748992012807484,-73.98849219365697,40.74322681459857,-73.9744978400473,1620
6 Ave & W 33 St,E 40 St & Park Ave,40.748992012807484,-73.98849219365697,40.750756,-73.978326,1106
6 Ave & W 34 St,6 Ave & W 34 St,40.749630139991226,-73.98805043203161,40.74964,-73.98805,1052
7 Ave & Central Park South,Central Park North & Adam Clayton Powell Blvd,40.766728242523406,-73.97909443883442,40.799484,-73.955613,1175
8 Ave & W 16 St,W 21 St & 6 Ave,40.74096865591634,-74.00171135580848,40.74173969130852,-73.99415556185724,1091
