date,bike_rides_daily,temp,month,season,start_station_name,value,rideable_type,ride_duration
2022-03-15,426.0,11.6,3,winter,Cleveland Pl & Spring St,1,electric_bike,8
2022-03-16,443.0,13.6,3,winter,W 41 St & 8 Ave,1,classic_bike,21
2022-03-17,272.0,8.2,3,winter,11 Ave & W 41 St,1,electric_bike,13
2022-03-18,493.0,13.9,3,winter,Frederick Douglass Blvd & W 117 St,1,electric_bike,7
2022-03-19,414.0,13.1,3,winter,Lafayette St & E 8 St,1,classic_bike,5
2022-03-20,380.0,14.3,3,winter,W 70 St & Amsterdam Ave,1,classic_bike,7
2022-03-21,383.0,10.4,3,winter,E 15 St & 3 Ave,1,classic_bike,14
2022-03-22,381.0,10.7,3,winter,Adam Clayton Powell Blvd & W 118 St,1,classic_bike,8
2022-03-23,337.0,7.2,3,winter,Flushing Ave & Vanderbilt Ave,1,classic_bike,6
2022-03-24,238.0,5.7,3,winter,2 Ave & E 29 St,1,electric_bike,6
2022-03-25,391.0,9.6,3,winter,W 31 St & 7 Ave,1,electric_bike,10
2022-03-26,317.0,10.4,3,winter,Willoughby St & Fleet St,1,classic_bike,3
2022-03-27,259.0,5.9,3,winter,W 54 St & 9 Ave,1,classic_bike,6
2022-03-28,220.0,-1.5,3,winter,Fulton St & Adams St,1,classic_bike,3
2022-03-29,245.0,-1.2,3,winter,E 2 St & 2 Ave,1,electric_bike,6
2022-03-30,313.0,2.6,3,winter,E 59 St & Madison Ave,1,electric_bike,13
2022-03-31,417.0,9.9,3,winter,Greenwich St & Perry St,1,classic_bike,19
2022-04-01,305.0,13.1,4,winter,Broadway & W 51 St,1,classic_bike,4
2022-04-02,350.0,7.2,4,winter,Wythe Ave & Metropolitan Ave,1,classic_bike,7
2022-04-03,167.0,7.0,4,winter,58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,1,classic_bike,11
2022-04-04,301.0,7.6,4,winter,28 St & 36 Ave,1,classic_bike,3
2022-04-05,327.0,9.7,4,winter,W 18 St & 9 Ave,1,electric_bike,13
2022-04-06,191.0,8.6,4,winter,W 59 St & 10 Ave,1,classic_bike,3
2022-04-07,161.0,9.1,4,winter,W 113 St & Broadway,1,electric_bike,2
2022-04-08,403.0,12.8,4,winter,Lawrence St & Willoughby St,1,electric_bike,24
2022-04-09,309.0,11.4,4,winter,W 64 St & Thelonious Monk Circle,1,electric_bike,7
2022-04-10,239.0,8.6,4,winter,Broadway & Hancock St,1,electric_bike,2
2022-04-11,314.0,8.8,4,winter,Kent Ave & N 7 St,1,classic_bike,7
2022-04-12,386.0,13.4,4,winter,W 42 St & 6 Ave,1,classic_bike,8
2022-04-13,427.0,15.4,4,winter,Avenue C & E 18 St,1,classic_bike,21
2022-04-14,363.0,16.3,4,winter,E 2 St & Avenue B,1,classic_bike,5
2022-04-15,429.0,15.7,4,winter,William St & Pine St,1,classic_bike,2
2022-04-16,363.0,15.7,4,winter,Howard St & Lafayette St,1,classic_bike,6
2022-04-17,222.0,8.3,4,winter,Rivington St & Ridge St,1,classic_bike,4
2022-04-18,233.0,7.9,4,winter,W 120 St & Claremont Ave,1,electric_bike,6
2022-04-19,289.0,7.6,4,winter,Willoughby Ave & Walworth St,1,classic_bike,10
2022-04-20,355.0,9.4,4,winter,W 26 St & 8 Ave,1,electric_bike,7
2022-04-21,341.0,10.6,4,winter,E 20 St & 2 Ave,1,classic_bike,8
2022-04-22,428.0,14.6,4,winter,Greene Ave & Nostrand Ave,1,classic_bike,6
2022-04-23,436.0,13.3,4,winter,Greenwich St & W Houston St,1,classic_bike,3
2022-04-24,353.0,12.8,4,winter,W 47 St & 6 Ave,1,classic_bike,19
2022-04-25,357.0,10.4,4,winter,9 Ave & W 18 St,1,classic_bike,7
2022-04-26,319.0,11.5,4,winter,Lexington Ave & E 24 St,1,classic_bike,3
2022-04-27,369.0,11.6,4,winter,11 Ave & W 41 St,1,classic_bike,16
2022-04-28,361.0,8.2,4,winter,9 Ave & W 18 St,1,electric_bike,3
